summary_level,arm_id,arm_slug,arm_label,seed,evaluation_design,total_rows,parseable_rows,parseability_rate,excluded_rows,exclusion_rate,included_rows,included_rate,top_exclusion_category,top_exclusion_count,top_exclusion_rate,top_exclusion_share_of_excluded
arm,1,neutral_baseline,Neutral baseline: C ∪ B,NA,NA,46400,37036,0.7981896551724138,9364,0.2018103448275862,37036,0.7981896551724138,unparseable_response,8744,0.18844827586206897,0.933788979068774
arm,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,NA,46400,35775,0.7710129310344828,10625,0.22898706896551724,35775,0.7710129310344828,unparseable_response,10625,0.22898706896551724,1.0
arm,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,NA,17600,12384,0.7036363636363636,5216,0.2963636363636364,12384,0.7036363636363636,degenerate_response,3200,0.18181818181818182,0.6134969325153374
arm,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),NA,NA,17600,16344,0.9286363636363636,1256,0.07136363636363637,16344,0.9286363636363636,degenerate_response,1130,0.06420454545454546,0.8996815286624203
arm,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,NA,NA,17600,17572,0.9984090909090909,28,0.001590909090909091,17572,0.9984090909090909,unparseable_response,28,0.001590909090909091,1.0
arm,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,NA,NA,17600,12598,0.7157954545454546,5002,0.28420454545454543,12598,0.7157954545454546,unparseable_response,5002,0.28420454545454543,1.0
arm_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,NA,bounded_search,14400,10396,0.7219444444444445,4004,0.27805555555555556,10396,0.7219444444444445,unparseable_response,3384,0.235,0.8451548451548452
arm_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,NA,fixed_interface,32000,26640,0.8325,5360,0.1675,26640,0.8325,unparseable_response,5360,0.1675,1.0
arm_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,bounded_search,19200,15520,0.8083333333333333,3680,0.19166666666666668,15520,0.8083333333333333,unparseable_response,3680,0.19166666666666668,1.0
arm_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,fixed_interface,27200,20255,0.7446691176470588,6945,0.25533088235294116,20255,0.7446691176470588,unparseable_response,6945,0.25533088235294116,1.0
arm_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,fixed_interface,17600,12384,0.7036363636363636,5216,0.2963636363636364,12384,0.7036363636363636,degenerate_response,3200,0.18181818181818182,0.6134969325153374
arm_evaluation_design,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),NA,fixed_interface,17600,16344,0.9286363636363636,1256,0.07136363636363637,16344,0.9286363636363636,degenerate_response,1130,0.06420454545454546,0.8996815286624203
arm_evaluation_design,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,NA,fixed_interface,17600,17572,0.9984090909090909,28,0.001590909090909091,17572,0.9984090909090909,unparseable_response,28,0.001590909090909091,1.0
arm_evaluation_design,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,NA,fixed_interface,17600,12598,0.7157954545454546,5002,0.28420454545454543,12598,0.7157954545454546,unparseable_response,5002,0.28420454545454543,1.0
arm_seed,1,neutral_baseline,Neutral baseline: C ∪ B,0,NA,11600,10516,0.9065517241379311,1084,0.09344827586206897,10516,0.9065517241379311,unparseable_response,1084,0.09344827586206897,1.0
